model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=10,39.2207,6,49.6386,75.2705,47.1696,46.9231,44.8967,38.0482,61.3211,52.4035,37.836,43.7322,48.753,38.335,61.0812,51.0637,39.1457,40.1709,51.4662,37.5047,60.4867,49.6807,39.0273,37.2329,53.2131,36.5446,59.8705,48.4482,38.6471,34.6629,54.3905,35.4229,59.2524,47.5507,38.001,32.8632,56.0467,34.8226,59.2743,47.281,37.7238,31.1966,57.9286,34.1624,59.4881,47.1352,37.2449,25.8689,62.5515,31.2915,60.3532,47.1668,34.5773,21.1111,65.2903,27.6516,61.0533,47.397,30.7453
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=3,39.1679,7,49.5357,74.6328,45.5103,46.1538,44.2822,37.3974,60.5968,51.7119,37.2157,43.1624,48.4947,37.9755,60.5066,50.5863,38.6356,40.232,51.3084,37.6593,60.2409,49.5978,39.0866,37.6068,53.7615,37.0603,59.9484,48.6743,39.0352,34.9953,55.1458,35.9952,59.3681,47.6962,38.3654,32.8205,56.1649,34.9235,59.092,47.1512,37.6748,30.9246,57.3572,34.008,59.0434,46.817,36.9202,25.7835,62.6493,31.2827,60.1574,47.0365,34.4631,21.0897,66.2907,27.7708,61.107,47.3557,30.7142
I-grid: Fusion Prec×1 Ratio×2 Fact×0 Arg×1,39.122,8,47.2788,73.0026,44.0612,45.812,42.8918,36.9647,58.9044,49.9234,36.94,42.5214,46.1383,37.0149,58.4138,48.5927,38.0618,39.8657,49.0737,36.8537,58.2724,47.648,38.7307,37.6068,51.3216,36.5623,58.0511,46.9038,39.0352,34.9478,52.552,35.4455,57.391,45.8941,38.3134,32.7778,54.0701,34.5613,57.2115,45.3068,37.6257,30.7304,55.3085,33.535,57.0703,44.8314,36.6883,25.5556,60.5046,30.8371,58.1257,44.9703,34.1584,21.1111,65.334,27.735,59.4394,45.4436,30.7453
I-grid: Fusion Prec×1 Ratio×3 Fact×1 Arg×0,39.0108,8,49.5098,74.7873,46.981,46.4957,44.3096,37.6568,60.8772,52.0269,37.4914,42.9487,47.0425,37.4164,60.1843,50.6186,38.4444,39.9878,49.5145,36.9931,59.7851,49.5729,38.8493,37.5,51.7422,36.4484,59.4555,48.7106,38.9243,35.1852,54.0733,35.7683,59.2229,47.861,38.5737,33.2479,56.4828,35.2338,59.3872,47.5784,38.1653,31.4685,58.4267,34.5647,59.5779,47.3782,37.5696,25.8974,62.4877,31.3059,60.2081,47.2264,34.6154,21.1325,66.0988,27.7409,61.1157,47.4633,30.7764
I2: Refined fusion Prec×3 + Ratio×3 + Fact×1 + Arg×1,38.9553,8,48.2043,73.6331,45.8804,46.2393,44.6173,37.6057,59.9774,50.5668,37.2846,42.6638,47.6028,37.4242,59.3218,49.1414,38.1894,39.9267,50.1518,37.1578,59.0388,48.2821,38.79,37.4466,52.2768,36.6122,58.7192,47.515,38.8689,35.1377,53.9742,35.8071,58.3583,46.6796,38.5216,33.1624,55.562,35.079,58.3004,46.2423,38.0672,31.2354,56.7135,34.1598,58.2212,45.9222,37.2913,25.812,62.1927,31.233,59.2634,45.9778,34.5011,21.0897,66.68,27.7694,60.3802,46.2825,30.7142
I-grid: Fusion Prec×3 Ratio×3 Fact×1 Arg×1,38.9553,8,48.2043,73.6331,45.8804,46.2393,44.6173,37.6057,59.9774,50.5668,37.2846,42.6638,47.6028,37.4242,59.3218,49.1414,38.1894,39.9267,50.1518,37.1578,59.0388,48.2821,38.79,37.4466,52.2768,36.6122,58.7192,47.515,38.8689,35.1377,53.9742,35.8071,58.3583,46.6796,38.5216,33.1624,55.562,35.079,58.3004,46.2423,38.0672,31.2354,56.7135,34.1598,58.2212,45.9222,37.2913,25.812,62.1927,31.233,59.2634,45.9778,34.5011,21.0897,66.68,27.7694,60.3802,46.2825,30.7142
I-grid: Fusion Prec×2 Ratio×2 Fact×1 Arg×0,38.8441,8,47.867,72.8745,45.7583,46.0684,44.1296,37.4028,59.6224,50.3707,37.1468,42.735,47.1601,37.3392,59.0951,49.0502,38.2531,39.4383,49.274,36.6482,58.4207,47.7335,38.3155,37.3397,51.6739,36.3598,58.3573,47.1689,38.758,35.1852,53.4314,35.7241,58.0472,46.4691,38.5737,33.0342,55.4271,34.9395,58.0162,46.0088,37.92,31.0023,56.4156,33.8734,57.8553,45.5918,37.013,25.641,61.1133,30.9376,58.7038,45.609,34.2727,21.0256,66.3111,27.6507,60.0201,45.9932,30.6208
I-grid: Fusion Prec×2 Ratio×2 Fact×1 Arg×1,38.7519,7,48.739,74.0511,45.9512,46.3248,44.4659,37.6577,60.3028,51.1311,37.3535,42.5214,47.0549,37.18,59.4421,49.4689,38.0618,39.8046,50.0731,37.0351,59.2738,48.6111,38.6714,37.2329,52.833,36.5659,59.055,47.7659,38.6471,34.9953,54.3664,35.7402,58.6831,46.9889,38.3654,33.0769,56.0592,35.0805,58.6813,46.6772,37.9691,31.0412,57.0563,33.9932,58.525,46.2673,37.0594,25.7265,62.1703,31.1164,59.4943,46.2887,34.3869,21.2393,67.2973,27.9578,60.8877,46.7599,30.932
I6: Refined fusion Prec×2 + Ratio×2 + Fact×1 + Arg×1 + Stat×0.5,38.6774,8,48.5297,73.7729,46.1732,46.1538,44.2163,37.6122,59.9464,50.6485,37.2157,42.5214,47.5718,37.3599,59.379,49.1722,38.0618,39.6215,50.6375,37.0947,59.1604,48.1854,38.4935,37.1795,53.0965,36.6717,58.9267,47.4348,38.5916,35.1852,54.8786,36.0516,58.7376,46.87,38.5737,33.1197,56.3807,35.225,58.635,46.4432,38.0182,31.2354,57.4576,34.2286,58.5892,46.1653,37.2913,25.7265,62.2288,31.1707,59.4086,46.1162,34.3869,21.1752,67.41,27.9153,60.7668,46.5564,30.8386
I-grid: Fusion Prec×3 Ratio×3 Fact×1 Arg×0,38.6642,9,47.4544,72.9776,45.3418,45.3846,43.3788,36.8614,58.964,49.5998,36.5955,42.4501,46.4228,37.0322,58.5977,48.5224,37.9981,39.5604,49.3312,36.7395,58.3234,47.5449,38.4342,37.0726,51.3891,36.077,57.9861,46.6772,38.4807,35.1852,53.8521,35.7831,57.9853,46.1826,38.5737,33.0342,55.0,34.8288,57.7435,45.7017,37.92,31.1577,56.9967,34.0793,57.8954,45.4163,37.1985,25.6695,61.4196,31.0035,58.637,45.4067,34.3107,20.9188,65.7595,27.5166,59.6891,45.6232,30.4652
I-grid: Fusion Prec×1 Ratio×3 Fact×0 Arg×1,38.5736,7,47.8018,73.8626,44.711,45.812,41.8152,36.658,59.0542,50.3686,36.94,42.8775,45.7173,37.0998,58.9214,49.2164,38.3806,39.6215,48.5764,36.5757,58.4603,48.1046,38.4935,36.9658,50.579,35.9377,57.9905,47.1031,38.3698,34.7104,52.479,35.2732,57.6633,46.2496,38.0531,32.9487,54.6528,34.7494,57.8322,45.9318,37.8219,31.3908,56.6932,34.2827,58.1306,45.782,37.4768,25.4986,60.7091,30.8083,58.5788,45.4666,34.0823,21.1111,64.1493,27.6571,59.6147,45.9176,30.7453
I-grid: Fusion Prec×2 Ratio×3 Fact×0 Arg×1,38.5107,8,46.5728,72.4198,43.5274,46.0684,42.2169,36.9546,58.5937,49.564,37.1468,42.1652,45.3548,36.7102,57.7473,47.8161,37.7431,39.4994,47.8994,36.404,57.5028,46.9645,38.3749,37.0192,50.0574,35.9123,57.1647,46.1232,38.4253,34.4255,51.3018,34.8779,56.515,45.0489,37.7408,32.6923,53.543,34.4359,56.6809,44.7123,37.5276,31.1189,55.659,33.8801,56.9802,44.6341,37.1521,25.5271,60.8702,30.8534,57.8495,44.5082,34.1203,20.9615,64.6848,27.529,58.8605,44.785,30.5275
I-grid: Fusion Prec×3 Ratio×2 Fact×1 Arg×1,38.4551,8,46.9247,72.5488,43.8724,45.3846,43.7616,36.9347,58.7837,49.3102,36.5955,41.7379,46.4404,36.6368,57.9377,47.6815,37.3605,39.2552,49.3103,36.4782,57.857,46.9292,38.1376,36.9658,52.1794,36.306,57.7795,46.2297,38.3698,34.5204,53.4868,35.2638,57.2583,45.3568,37.8449,32.6496,55.294,34.6459,57.3013,45.0132,37.4785,30.8469,56.283,33.7469,57.2254,44.7206,36.8275,25.4986,62.1636,30.8396,58.31,44.6951,34.0823,20.9188,66.5896,27.5556,59.4717,45.0588,30.4652
I1: Refined fusion equal (Fact+Arg+Prec+Ratio),38.2764,7,48.5574,73.8443,45.4505,46.2393,44.5848,37.5734,60.3574,51.2128,37.2846,42.5926,47.7347,37.3783,59.6906,49.7373,38.1256,39.3162,50.1749,36.7171,59.1377,48.4023,38.1969,36.5385,52.4275,35.9983,58.703,47.3814,37.9263,34.188,53.7508,35.0574,58.1984,46.4781,37.4805,32.094,54.9471,34.1253,57.9574,46.0098,36.8408,30.1865,56.5976,33.2655,57.9907,45.6742,36.039,25.4416,61.6783,30.8192,59.1732,45.9751,34.0061,20.7265,65.4085,27.2973,60.0822,46.2165,30.1852
I-grid: Fusion Prec×1 Ratio×1 Fact×1 Arg×1,38.2764,7,48.5574,73.8443,45.4505,46.2393,44.5848,37.5734,60.3574,51.2128,37.2846,42.5926,47.7347,37.3783,59.6906,49.7373,38.1256,39.3162,50.1749,36.7171,59.1377,48.4023,38.1969,36.5385,52.4275,35.9983,58.703,47.3814,37.9263,34.188,53.7508,35.0574,58.1984,46.4781,37.4805,32.094,54.9471,34.1253,57.9574,46.0098,36.8408,30.1865,56.5976,33.2655,57.9907,45.6742,36.039,25.4416,61.6783,30.8192,59.1732,45.9751,34.0061,20.7265,65.4085,27.2973,60.0822,46.2165,30.1852
I-grid: Fusion Prec×1 Ratio×1 Fact×0 Arg×1,38.2169,7,45.6702,71.1223,42.3822,45.5556,42.1872,36.4242,57.9114,48.8019,36.7333,41.8803,45.235,36.2862,57.1117,47.0203,37.488,39.2552,48.2037,36.2786,56.9289,46.2375,38.1376,36.1645,49.5699,35.1411,56.1078,45.0037,37.5381,34.1406,51.4867,34.5805,55.8753,44.2788,37.4284,31.9658,52.8027,33.6555,55.6252,43.7156,36.6936,30.1088,54.0252,32.78,55.5724,43.2814,35.9462,25.0997,60.1997,30.3413,56.8666,43.4164,33.5491,20.6624,64.2061,27.1657,57.9601,43.7979,30.0918
I-grid: Fusion Prec×1 Ratio×1 Fact×1 Arg×0,38.1987,6,48.2839,73.7124,45.5055,45.812,44.0643,37.2614,60.0225,50.9265,36.94,42.5926,47.0243,37.1895,59.5438,49.6711,38.1256,39.072,49.3035,36.3693,58.7941,48.2118,37.9597,36.5385,51.7181,35.8475,58.5067,47.2642,37.9263,33.9506,52.8583,34.692,57.853,46.2509,37.2202,32.3504,54.8368,34.3157,58.0303,46.0657,37.1351,30.575,56.0634,33.5089,58.0308,45.8258,36.5028,25.1567,59.4261,30.3064,58.4908,45.68,33.6253,20.8974,64.9892,27.3972,60.0017,46.2049,30.4341
I-grid: Fusion Prec×2 Ratio×2 Fact×0 Arg×1,38.1773,8,45.3705,71.22,42.6435,45.812,42.2609,36.741,57.7587,48.4607,36.94,41.8803,45.1764,36.349,56.8668,46.6383,37.488,39.072,47.7688,36.1089,56.5203,45.7727,37.9597,36.6987,50.0398,35.5916,56.2687,44.9927,38.0926,34.4729,51.5477,34.8828,55.8442,44.0946,37.7928,32.265,53.2322,33.9705,55.6846,43.5816,37.037,30.3807,54.5516,33.1288,55.6387,43.2177,36.2709,25.0997,59.7683,30.2969,56.5918,43.1751,33.5491,20.8761,64.4225,27.4448,57.9682,43.6865,30.403
I3: Refined fusion Prec×5 + Ratio×3 + Fact×1 + Arg×1,38.1575,7,45.4638,71.8879,42.3479,45.3846,43.6602,36.8956,58.0883,48.4069,36.5955,42.094,46.6043,36.8677,57.5033,46.8939,37.6793,39.1941,49.2641,36.3831,57.1963,45.9831,38.0783,36.2714,50.9723,35.4683,56.5246,44.8327,37.649,34.1406,52.836,34.8521,56.251,44.0736,37.4284,32.1795,54.2126,34.0466,56.1319,43.6989,36.9389,30.4973,56.1108,33.378,56.3386,43.4726,36.41,25.0142,60.5157,30.2069,56.9949,43.2978,33.4349,20.5556,64.9356,27.0547,58.1513,43.6409,29.9362
I-grid: Fusion Prec×5 Ratio×3 Fact×1 Arg×1,38.1575,7,45.4638,71.8879,42.3479,45.3846,43.6602,36.8956,58.0883,48.4069,36.5955,42.094,46.6043,36.8677,57.5033,46.8939,37.6793,39.1941,49.2641,36.3831,57.1963,45.9831,38.0783,36.2714,50.9723,35.4683,56.5246,44.8327,37.649,34.1406,52.836,34.8521,56.251,44.0736,37.4284,32.1795,54.2126,34.0466,56.1319,43.6989,36.9389,30.4973,56.1108,33.378,56.3386,43.4726,36.41,25.0142,60.5157,30.2069,56.9949,43.2978,33.4349,20.5556,64.9356,27.0547,58.1513,43.6409,29.9362
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=2,37.9792,7,48.4086,74.0874,45.0964,45.8974,43.9551,37.0643,60.0512,51.0889,37.009,42.2365,47.7881,37.1215,59.5552,49.5709,37.8068,39.011,50.1497,36.5054,59.0225,48.3764,37.9004,36.2179,52.2583,35.7811,58.5233,47.3112,37.5936,34.188,54.1773,35.1911,58.3294,46.615,37.4805,32.3504,56.2547,34.5715,58.44,46.2877,37.1351,30.3807,57.3712,33.6029,58.3275,45.9088,36.2709,24.9573,62.061,30.4473,59.1257,45.8705,33.3587,20.5983,65.974,27.2866,60.2604,46.2675,29.9984
I4: Refined fusion Arg×1 + Prec×3 + Ratio×3 (no Fact),37.8438,8,45.113,71.3624,42.4925,45.4701,42.0309,36.471,57.5479,48.202,36.6644,41.7379,44.9998,36.2577,56.7248,46.4539,37.3605,38.7057,47.0921,35.6723,56.1507,45.4038,37.6038,36.3782,49.1898,35.2368,55.8512,44.5611,37.7599,34.188,50.7248,34.5191,55.4507,43.7629,37.4805,32.1368,52.2232,33.7415,55.3026,43.3305,36.8899,30.3807,53.9673,33.0495,55.421,43.0237,36.2709,24.9288,59.0377,30.0588,56.2452,42.9055,33.3206,20.7051,64.0082,27.2249,57.6718,43.3983,30.154
I-grid: Fusion Prec×3 Ratio×3 Fact×0 Arg×1,37.8438,8,45.113,71.3624,42.4925,45.4701,42.0309,36.471,57.5479,48.202,36.6644,41.7379,44.9998,36.2577,56.7248,46.4539,37.3605,38.7057,47.0921,35.6723,56.1507,45.4038,37.6038,36.3782,49.1898,35.2368,55.8512,44.5611,37.7599,34.188,50.7248,34.5191,55.4507,43.7629,37.4805,32.1368,52.2232,33.7415,55.3026,43.3305,36.8899,30.3807,53.9673,33.0495,55.421,43.0237,36.2709,24.9288,59.0377,30.0588,56.2452,42.9055,33.3206,20.7051,64.0082,27.2249,57.6718,43.3983,30.154
I-grid: Fusion Prec×3 Ratio×2 Fact×1 Arg×0,37.8009,7,46.3274,72.5358,43.2055,45.5556,43.6957,36.946,58.8818,49.4506,36.7333,41.7379,46.1856,36.4947,57.9096,47.661,37.3605,38.8278,48.3433,35.9364,57.4351,46.5953,37.7224,36.3248,50.6565,35.4584,57.1132,45.6483,37.7045,33.9981,52.3236,34.6322,56.703,44.817,37.2723,32.1795,54.002,34.0076,56.7176,44.5434,36.9389,30.5361,55.5128,33.3626,56.8327,44.2982,36.4564,25.2422,60.665,30.4541,57.7425,44.2481,33.7395,20.4915,64.8264,26.9315,58.6907,44.4253,29.8429
I-grid: Fusion Prec×2 Ratio×1 Fact×1 Arg×1,37.7883,8,46.2396,71.1722,43.1252,45.0427,43.2035,36.4914,58.0442,48.8111,36.3198,41.5954,46.6813,36.5178,57.5219,47.2556,37.233,38.6447,49.0193,36.0558,57.0406,46.1155,37.5445,36.3248,51.6521,35.7415,56.8966,45.3569,37.7045,33.9981,53.2777,34.843,56.5099,44.5683,37.2723,32.0513,54.5874,34.0167,56.3829,44.1782,36.7918,30.2253,56.1317,33.1618,56.4246,43.8607,36.0853,24.9288,59.8168,30.1478,57.0024,43.7311,33.3206,20.5128,65.2708,27.0373,58.3825,44.1088,29.874
I-grid: Fusion Prec×2 Ratio×1 Fact×1 Arg×0,37.5104,8,45.7893,71.8719,41.7561,44.4444,42.8436,36.0642,57.8726,48.5829,35.8374,41.7379,46.2487,36.4851,57.6504,47.4084,37.3605,38.4005,48.4943,35.7204,56.9724,45.9903,37.3072,36.0577,50.9576,35.3114,56.7812,45.1907,37.4272,33.8082,52.7906,34.5383,56.4696,44.4092,37.064,31.5385,53.7695,33.4584,56.0818,43.7651,36.2031,29.6426,54.8192,32.4691,55.9748,43.4412,35.3896,24.8148,59.739,29.9561,57.0207,43.5789,33.1683,20.1496,63.29,26.4573,57.8246,43.7067,29.345
I-grid: Fusion Prec×3 Ratio×2 Fact×0 Arg×1,37.2065,7,43.9193,70.8227,40.9684,44.188,41.2794,35.5095,56.374,46.8925,35.6306,40.9544,44.2512,35.6372,55.7322,45.3903,36.6592,38.2173,46.5252,35.2881,55.315,44.3713,37.1293,35.6838,48.8011,34.7078,54.9498,43.446,37.0391,33.2858,50.0873,33.7425,54.3923,42.491,36.4914,31.7521,52.4331,33.4676,54.677,42.3026,36.4484,29.8368,53.1701,32.4327,54.4716,41.8869,35.6215,24.4444,57.8678,29.4974,55.1897,41.7243,32.6733,20.2991,62.3995,26.66,56.496,42.2088,29.5628
I-grid: Fusion Prec×5 Ratio×3 Fact×1 Arg×0,37.2065,7,45.3798,72.3985,42.9151,44.7863,42.6604,36.2255,58.0308,48.6826,36.113,41.453,45.6768,36.2102,57.3948,47.18,37.1055,38.2173,47.5233,35.3617,56.6718,45.8539,37.1293,35.6303,49.776,34.7871,56.2591,44.7923,36.9836,33.5708,51.9709,34.2798,56.0884,44.017,36.8037,31.5385,53.1727,33.3646,55.8756,43.5803,36.2031,29.798,54.6263,32.5619,55.9158,43.3163,35.5751,24.7009,59.6016,29.7767,56.8368,43.3024,33.016,20.2137,63.4766,26.5595,57.826,43.5572,29.4383
I-grid: Fusion Prec×3 Ratio×1 Fact×1 Arg×1,37.0103,8,44.9636,71.609,41.489,43.3333,42.0097,35.1576,56.7073,47.2374,34.9414,40.3134,45.1918,35.2296,56.274,45.991,36.0854,37.9121,48.1387,35.2881,56.1723,45.1335,36.8327,35.5769,50.4887,34.8938,55.9268,44.2205,36.9282,33.5233,52.6103,34.3168,55.7568,43.5336,36.7517,31.4103,54.0731,33.4181,55.5843,43.0203,36.0559,29.9534,55.6682,32.8586,55.8174,42.8829,35.7607,24.5014,59.3838,29.6238,56.2821,42.646,32.7494,20.1068,63.6744,26.4885,57.3896,42.9226,29.2827
I-grid: Fusion Prec×5 Ratio×3 Fact×0 Arg×1,36.9688,7,43.2739,70.9796,40.6773,44.1026,41.1926,35.4638,56.2129,46.6857,35.5617,40.6695,43.9113,35.3339,55.416,44.9865,36.4042,37.9731,46.0942,34.9732,54.9804,43.9609,36.8921,35.0962,48.0088,34.1166,54.3437,42.7035,36.4292,33.1434,49.9346,33.6171,54.1381,42.0824,36.3352,31.1966,51.4264,32.8034,54.0205,41.6539,35.8106,29.4483,52.551,32.0023,53.9688,41.282,35.1577,24.188,57.3356,29.1402,54.7305,41.2045,32.3305,20.1496,61.9493,26.4494,56.0739,41.6497,29.345
I-grid: Fusion Prec×2 Ratio×1 Fact×0 Arg×1,36.8436,8,42.9195,70.4268,40.3241,43.2479,39.9509,34.6428,55.1406,45.6649,34.8725,39.886,42.5306,34.4713,54.3479,44.0759,35.7029,37.5458,45.1573,34.4209,54.1974,43.2842,36.4769,35.4167,47.9548,34.3031,54.1158,42.5973,36.7619,33.0959,50.1539,33.5451,53.8079,41.7411,36.2832,30.9829,51.2397,32.605,53.5048,41.1811,35.5654,29.3318,52.9085,31.9241,53.6242,40.9026,35.0186,24.1026,57.5688,29.121,54.3687,40.7043,32.2163,19.9786,62.1639,26.2715,55.6522,41.1002,29.096
I-grid: Fusion Prec×5 Ratio×2 Fact×1 Arg×1,36.6213,8,43.9803,71.4461,40.5424,43.4188,41.3653,35.0794,56.1255,46.5176,35.0103,40.3846,44.6908,35.2747,55.6926,45.1434,36.1492,37.5458,47.0921,34.7783,55.2553,44.0384,36.4769,35.203,49.6916,34.5071,55.0425,43.1997,36.5401,33.2858,51.9133,34.0172,54.9544,42.5744,36.4914,31.5385,53.4994,33.3902,54.9793,42.2846,36.2031,29.7203,55.2533,32.5952,55.0665,41.9468,35.4824,24.3875,59.6196,29.5541,55.7397,41.7389,32.5971,20.2778,64.2376,26.6919,57.0708,42.217,29.5317
I-grid: Fusion Prec×3 Ratio×1 Fact×1 Arg×0,36.2879,8,43.9711,71.4128,40.9197,43.0769,41.5299,34.9095,56.3414,46.8688,34.7347,39.7436,43.9534,34.5867,55.5554,45.3083,35.5754,37.1184,46.6802,34.4564,55.2306,44.2935,36.0617,34.8825,49.8965,34.1937,55.2627,43.5235,36.2074,32.7635,51.7483,33.542,54.9697,42.7193,35.9188,30.7265,53.1425,32.6566,54.8126,42.2252,35.271,28.8656,53.9651,31.6451,54.6534,41.8499,34.462,23.8746,58.1859,28.85,55.3894,41.721,31.9117,19.6154,62.228,25.7622,56.4282,41.9726,28.567
I-grid: Fusion Prec×5 Ratio×2 Fact×1 Arg×0,35.7074,6,43.4751,72.0847,40.1703,42.9915,40.5298,34.5874,56.0399,46.5729,34.6657,39.8148,43.357,34.4662,55.4088,45.1339,35.6391,36.63,45.4933,33.8803,54.6572,43.6549,35.5872,34.2949,47.9127,33.4136,54.4052,42.7667,35.5974,32.3837,50.2457,32.9801,54.3091,42.1007,35.5023,30.641,52.2351,32.5069,54.4061,41.7556,35.1729,29.1375,53.3162,31.8265,54.4473,41.5266,34.7866,23.9601,57.9692,28.9005,55.1908,41.3449,32.0259,19.8291,63.0263,26.0695,56.5332,41.7149,28.8782
I-grid: Fusion Prec×5 Ratio×2 Fact×0 Arg×1,35.4292,9,41.0666,69.3199,38.3231,41.9658,38.2815,33.3116,53.5735,44.0854,33.8387,38.8177,41.0847,33.3837,52.872,42.6143,34.7466,35.8974,43.2861,32.8684,52.2589,41.3368,34.8754,34.0278,46.0212,32.9141,52.2493,40.67,35.3202,32.2412,48.1808,32.5627,52.1428,39.9769,35.3462,30.5128,50.3926,32.0836,52.2628,39.6278,35.0258,28.5936,51.4619,31.1059,52.1279,39.2245,34.1373,23.3618,54.9282,28.1021,52.4923,38.8781,31.2262,19.6154,60.1927,25.7264,54.0587,39.4238,28.567
I-grid: Fusion Prec×3 Ratio×1 Fact×0 Arg×1,35.1209,8,40.656,68.4963,38.3212,41.1111,37.2075,32.5351,52.5793,43.2062,33.1496,38.604,40.1909,32.9887,52.2463,42.1523,34.5553,35.5922,43.123,32.5182,51.7902,40.9185,34.5789,33.7607,45.6658,32.5694,51.7255,40.2485,35.043,31.8613,47.7361,32.0952,51.556,39.5167,34.9297,30.0855,49.1342,31.4708,51.4532,39.1197,34.5352,28.2828,50.1549,30.6303,51.327,38.6808,33.7662,23.2194,55.0135,27.9721,52.0828,38.4322,31.0358,19.2735,59.3801,25.3033,53.3244,38.7922,28.0691
I-grid: Fusion Prec×5 Ratio×1 Fact×1 Arg×1,35.0097,8,41.1462,69.1791,38.3881,41.6239,39.0523,33.2402,53.5655,43.8627,33.5631,37.963,41.6813,32.8596,52.5959,42.1143,33.9815,35.5311,44.3461,32.738,52.329,41.1544,34.5196,33.6538,47.4074,32.7353,52.44,40.6534,34.9321,31.434,48.5369,31.8494,51.876,39.7246,34.4612,29.6581,49.9493,31.1914,51.783,39.2545,34.0446,28.0109,51.9124,30.5675,51.9709,39.048,33.4416,23.1624,56.7967,28.0205,52.825,38.8129,30.9596,19.2735,61.4705,25.4103,54.1692,39.1951,28.0691
I-grid: Fusion Prec×5 Ratio×1 Fact×1 Arg×0,33.6205,8,40.3359,69.0292,38.0108,40.7692,38.0162,32.4028,53.0189,43.661,32.8739,37.3932,40.4301,32.115,52.1287,42.0211,33.4715,34.3101,42.4152,31.4152,51.3605,40.5849,33.3333,32.3184,45.2326,31.2333,51.2968,39.83,33.5459,30.3419,47.2768,30.7429,51.048,39.0414,33.2639,28.8034,49.0737,30.3605,51.1304,38.6809,33.0635,27.1173,50.1648,29.5593,51.0425,38.2989,32.3748,22.3647,54.4965,26.9343,51.7417,38.0688,29.8934,18.6752,59.2155,24.5272,53.1112,38.4312,27.1978
I-grid: Fusion Prec×5 Ratio×1 Fact×0 Arg×1,32.6757,8,37.5775,66.6711,36.0722,39.4017,34.9182,30.8119,50.222,41.0345,31.7712,35.9687,37.4099,30.5006,49.2601,39.2615,32.1964,33.3944,39.3219,30.1415,48.6696,38.096,32.4437,31.4103,41.2616,29.8663,48.3453,37.239,32.6033,29.5821,43.3612,29.512,48.1354,36.3985,32.431,27.8205,44.8712,28.9461,48.0207,35.9932,31.9352,26.0684,45.9038,28.0429,47.8633,35.5391,31.1224,21.7949,50.6814,26.0464,48.7591,35.4151,29.1318,18.1838,55.4965,23.7882,50.0894,35.6879,26.482
I5: Refined fusion all 7 equal,29.6193,8,35.326,59.7824,31.5452,33.9316,31.48,27.0265,43.5204,34.3524,27.3604,32.1225,35.222,27.7803,43.7732,33.6165,28.7536,30.2198,37.861,27.9014,43.8023,33.0243,29.3594,28.4722,39.5882,27.584,43.6619,32.3955,29.5536,26.8281,40.9468,27.1265,43.4607,31.8684,29.4118,25.2991,42.4827,26.6807,43.497,31.5876,29.041,24.5144,45.3112,26.7818,44.2499,31.7593,29.2672,20.8547,51.3709,25.2273,45.7516,32.122,27.8751,17.6068,55.1375,23.0717,46.9297,32.5278,25.6418
